R0,beta1,gamma,omega,rho,nu,disease,CFR_lo_time,cumcases_hi_time,cumdeaths_1yr
1.2,0.2,40.55555555555556,0.1,0.7,0,covid,Inf,2.095890410958904,862.2682567779376
1.4,0.2,40.55555555555556,0.1,0.7,0,covid,Inf,1.0465753424657533,1182710.0885070036
1.5999999999999999,0.2,40.55555555555556,0.1,0.7,0,covid,Inf,0.8054794520547945,3775162.460565477
1.7999999999999998,0.2,40.55555555555556,0.1,0.7,0,covid,Inf,0.663013698630137,3959516.2957028183
2,0.2,40.55555555555556,0.1,0.7,0,covid,Inf,0.547945205479452,3958894.012183026
2.1999999999999997,0.2,40.55555555555556,0.1,0.7,0,covid,Inf,0.4465753424657534,3933281.2499723067
2.4,0.2,40.55555555555556,0.1,0.7,0,covid,Inf,0.3643835616438356,3962510.686784882
2.5999999999999996,0.2,40.55555555555556,0.1,0.7,0,covid,Inf,0.3041095890410959,4051982.9715899415
2.8,0.2,40.55555555555556,0.1,0.7,0,covid,Inf,0.26301369863013696,4160045.8130310257
3,0.2,40.55555555555556,0.1,0.7,0,covid,26.257534246575343,0.23013698630136986,4258077.3578365855
3.1999999999999997,0.2,40.55555555555556,0.1,0.7,0,covid,23.101369863013698,0.2054794520547945,4338024.252680058
3.3999999999999995,0.2,40.55555555555556,0.1,0.7,0,covid,21.186301369863013,0.1863013698630137,4401056.0589152705
3.5999999999999996,0.2,40.55555555555556,0.1,0.7,0,covid,17.8,0.16986301369863013,4450396.314936864
3.8,0.2,40.55555555555556,0.1,0.7,0,covid,15.942465753424658,0.15616438356164383,4489360.548730563
4,0.2,40.55555555555556,0.1,0.7,0,covid,15.416438356164383,0.14520547945205478,4520314.719971146
4.199999999999999,0.2,40.55555555555556,0.1,0.7,0,covid,13.72054794520548,0.13424657534246576,4545279.245838176
4.3999999999999995,0.2,40.55555555555556,0.1,0.7,0,covid,10.830136986301369,0.12602739726027398,4565710.2162215
4.6,0.2,40.55555555555556,0.1,0.7,0,covid,11.471232876712328,0.12054794520547946,4582695.615327009
4.8,0.2,40.55555555555556,0.1,0.7,0,covid,10.758904109589041,0.11232876712328767,4596963.547336952
5,0.2,40.55555555555556,0.1,0.7,0,covid,8.884931506849314,0.10684931506849316,4609121.477534807
5.199999999999999,0.2,40.55555555555556,0.1,0.7,0,covid,8.830136986301369,0.10136986301369863,4619603.435163121
5.3999999999999995,0.2,40.55555555555556,0.1,0.7,0,covid,8.501369863013698,0.0958904109589041,4628736.062694354
5.6,0.2,40.55555555555556,0.1,0.7,0,covid,8.567123287671233,0.09315068493150686,4636809.071119215
5.8,0.2,40.55555555555556,0.1,0.7,0,covid,7.947945205479452,0.08767123287671233,4643971.258049354
6,0.2,40.55555555555556,0.1,0.7,0,covid,7.120547945205479,0.08493150684931507,4650353.962116758
1.2,0.2,40.55555555555556,0.17916666666666667,0.7,0,covid,Inf,2.095890410958904,862.2685667317943
1.4,0.2,40.55555555555556,0.17916666666666667,0.7,0,covid,Inf,1.0465753424657533,1182733.4058719582
1.5999999999999999,0.2,40.55555555555556,0.17916666666666667,0.7,0,covid,Inf,0.8054794520547945,3777448.941528748
1.7999999999999998,0.2,40.55555555555556,0.17916666666666667,0.7,0,covid,Inf,0.663013698630137,3963280.1058255206
2,0.2,40.55555555555556,0.17916666666666667,0.7,0,covid,Inf,0.547945205479452,3964070.860145944
2.1999999999999997,0.2,40.55555555555556,0.17916666666666667,0.7,0,covid,Inf,0.4465753424657534,3939650.2155517857
2.4,0.2,40.55555555555556,0.17916666666666667,0.7,0,covid,Inf,0.3643835616438356,3968491.5316793034
2.5999999999999996,0.2,40.55555555555556,0.17916666666666667,0.7,0,covid,24.29041095890411,0.3041095890410959,4056502.252880503
2.8,0.2,40.55555555555556,0.17916666666666667,0.7,0,covid,20.446575342465753,0.26301369863013696,4163435.7323827907
3,0.2,40.55555555555556,0.17916666666666667,0.7,0,covid,17.106849315068494,0.23013698630136986,4260739.300961537
3.1999999999999997,0.2,40.55555555555556,0.17916666666666667,0.7,0,covid,13.276712328767124,0.2054794520547945,4340398.499400623
